x-coordinate,y-coordinate,Similarity_score
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/010506a2-7a38-48b0-8eb6-f2e912c88b23.json,0.9375
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0065d8f0-ac94-411c-b7f7-9e4a5dbb9aa5.json,0.96875
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0035fe61-a079-4e0c-adaf-abb8f62e2a9a.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01cf7e9d-f6fa-4816-bfa5-2706ed7bfba1.json,0.9375
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01c1445f-51a4-4588-9cbe-099b0f6fe5d8.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/001c0740-7c98-46c0-b047-7f92540c8ed6.json,0.8125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0005e42d-4e68-4f1d-bf35-a0a4fb5fc7e6.json,0.90625
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0213764b-c6a1-4aa1-9943-7ff97e1e27b6.json,0.9375
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0144c3ed-dccf-4b45-ba13-daf8eff92049.json,0.90625
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/006f6940-332c-43ef-80e2-4f8156bcac99.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/009a5d88-b2d6-4821-90ec-6dc691a60abb.json,0.875
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01df3919-0352-42ec-9f4f-b3432bc5cd9f.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01691886-6eb7-4846-802d-7e1c4e9389aa.json,0.90625
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/007bf577-0e87-4f4e-bdc8-08dffdf6a304.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/00ab07e5-b31d-4e39-863f-a3947496b25b.json,0.90625
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01eab215-dc4c-45d4-ba5e-d11cb3916146.json,0.9375
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/001261ab-1d07-4afc-93b6-a5e058c9dd1a.json,0.78125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/005f6a08-24a6-464f-ad96-2fd1f7c6500a.json,0.875
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/015a92bc-b653-410d-81be-e2313c97ca37.json,0.8125
/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/01f1c0ed-d1af-4310-b8cc-1aeaa0b64c94.json,/Users/carlos/Documents/GitHub/DSCI550_Project/data/tika_json/dir_001/0217970a-b1b2-4aae-bf98-7473ebf1207c.json,0.9375
