state	usgs_region	number_of_tribes	percentage_of_total_tribes
AK	Alaska	193	36.48393194706994
AL	Southeast	5	0.945179584120983
BC	Alaska	1	0.1890359168241966
CA	Pacific	89	16.824196597353495
CT	Northeast	1	0.1890359168241966
CT	Northwest	3	0.5671077504725899
DE	Northwest	2	0.3780718336483932
FL	Southeast	3	0.5671077504725899
IA	Midwest	1	0.1890359168241966
ID	Northwest	4	0.7561436672967864
LA	Southeast	5	0.945179584120983
MA	Northwest	2	0.3780718336483932
ME	Northeast	1	0.1890359168241966
ME	Northwest	4	0.7561436672967864
MI	Midwest	12	2.2684310018903595
MN	Midwest	7	1.3232514177693762
MS	Southeast	1	0.1890359168241966
MT	Northwest	8	1.5122873345935728
NC	Southeast	5	0.945179584120983
ND	Midwest	4	0.7561436672967864
NE	Midwest	4	0.7561436672967864
NJ	Northeast	1	0.1890359168241966
NV	Pacific	17	3.213610586011342
NY	Northeast	2	0.3780718336483932
NY	Northwest	6	1.1342155009451798
OK	Southwest	86	16.257088846880908
OR	Northwest	6	1.1342155009451798
RI	Northwest	1	0.1890359168241966
SC	Southeast	1	0.1890359168241966
SD	Midwest	8	1.5122873345935728
VA	Northeast	1	0.1890359168241966
VA	Northwest	3	0.5671077504725899
WA	Northwest	30	5.671077504725898
WI	Midwest	10	1.890359168241966
WY	Northwest	2	0.3780718336483932
