default_city	default_postal	default_state_province	usgs_region
Shawnee	74801	OK	Southwest
Wetumka	74883	OK	Southwest
Anadarko	73005	OK	Southwest
Binger	73009	OK	Southwest
Tahlequah	74464	OK	Southwest
Concho	73022	OK	Southwest
Ada	74820	OK	Southwest
Durant	74701	OK	Southwest
Elgin	73507	OK	Southwest
Bartlesville	74006	OK	Southwest
Wyandotte	74370	OK	Southwest
Apache	73006	OK	Southwest
Perkins	74059	OK	Southwest
Kaw City	74641	OK	Southwest
McCloud	74851	OK	Southwest
Carnegie	73015	OK	Southwest
Miami	74354	OK	Southwest
Red Rock	74651	OK	Southwest
Pawnee	74058	OK	Southwest
Miami	74355	OK	Southwest
Ponca City	74601	OK	Southwest
Quapaw	74363	OK	Southwest
Stroud	74079	OK	Southwest
Grove	74344	OK	Southwest
Okmulgee	74447	OK	Southwest
Pawhuska	74056	OK	Southwest
Quapaw	74364	OK	Southwest
Wewoka	74884	OK	Southwest
Okemah	74859	OK	Southwest
Tonkawa	74653-4449	OK	Southwest
Washito	73005	OK	Southwest
Dulce	87528	OK	Southwest
Santo Domingo Pueblo	87052	OK	Southwest
Mescalero	88340	OK	Southwest
Ohkay Owingeh	87566	OK	Southwest
Acoma	87034	OK	Southwest
Cochiti	87072	OK	Southwest
Isleta	87022	OK	Southwest
Jemez Pueblo	87024	OK	Southwest
Laguna	87026	OK	Southwest
Santa Fe	75406	OK	Southwest
Penasco	87533	OK	Southwest
Santa Fe	87506	OK	Southwest
San Felipe Pueblo	87001	OK	Southwest
Bernalillo	87004	OK	Southwest
Santa Ana Pueblo	87004	OK	Southwest
Española	87532	OK	Southwest
Taos	87571	OK	Southwest
Zia Pueblo	87053-6013	OK	Southwest
Ramah	87321	OK	Southwest
Zuni	87327	OK	Southwest
Maricopa	85138	OK	Southwest
Somerton	85350	OK	Southwest
Parker	85344	OK	Southwest
Fort McDowell	85264	OK	Southwest
Sacaton	85147	OK	Southwest
Valentine	86437	OK	Southwest
Kykotsmovi	86039	OK	Southwest
Peach Springs	86434	OK	Southwest
Fredonia	86022	OK	Southwest
Window Rock	86515	OK	Southwest
Tucson	85757	OK	Southwest
Scottsdale	85256	OK	Southwest
San Carlos	85550	OK	Southwest
Tuba City	86045	OK	Southwest
Sells	85634	OK	Southwest
Apache Reservation	85541	OK	Southwest
Whiteriver	85941	OK	Southwest
Camp Verde	86322	OK	Southwest
Prescott	86301-2038	OK	Southwest
Ibapah	84034	OK	Southwest
Brigham City	84302-1449	OK	Southwest
Cedar City	84720-2613	OK	Southwest
Skull Valley	84029	OK	Southwest
Ft. Duchesne	84026	OK	Southwest
Livingston	77351	OK	Southwest
Eagle Pass	78852	OK	Southwest
McAllen	78501	OK	Southwest
El Paso	79907-6644	OK	Southwest
White Cloud	66439	OK	Southwest
Horton	66439	OK	Southwest
Mayetta	66509	OK	Southwest
Reserve	66434	OK	Southwest
Ignacio	81137	OK	Southwest
Cortez	81321	OK	Southwest
Winterhaven	92283	OK	Southwest
Nuiqsut	99789	AK	Alaska
Kaktovik	99747	AK	Alaska
Barrow	99723	AK	Alaska
Atqasuk	99791	AK	Alaska
Wainwright	99782	AK	Alaska
Point Lay	99759	AK	Alaska
"Artic Village"	99722	AK	Alaska
Anaktuvuk Pass	99721	AK	Alaska
Pt. Hope	99766	AK	Alaska
Kivalina	99750	AK	Alaska
Noatak	99761	AK	Alaska
Kotzebue	99752	AK	Alaska
Noorvik	99763	AK	Alaska
Kiana	99749	AK	Alaska
Shungnak	99773	AK	Alaska
Kobuk	99751	AK	Alaska
Bettles Field	99726	AK	Alaska
Venetie	99781	AK	Alaska
Selawik	99770	AK	Alaska
"Allakaket"	99720	AK	Alaska
Beaver	99724	AK	Alaska
Fort Yukon	99740	AK	Alaska
Chalkyitsik	99788	AK	Alaska
Shishmaref	99772	AK	Alaska
Hughes	99745	AK	Alaska
Huslia	99746	AK	Alaska
Buckland	99727	AK	Alaska
Deering	99736	AK	Alaska
Brevig Mission	99785	AK	Alaska
Teller	99778	AK	Alaska
Wales	99783	AK	Alaska
Diomede	99762	AK	Alaska
Nome	99762	AK	Alaska
White Mountain	99784	AK	Alaska
Elim	99739	AK	Alaska
Koyuk	99753	AK	Alaska
Gambell	99742	AK	Alaska
Savoonga	99769	AK	Alaska
Shaktoolik	99771-0100	AK	Alaska
Unalakleet	99684	AK	Alaska
St. Michael	99659	AK	Alaska
Stebbins	99671	AK	Alaska
Kotlik	99620	AK	Alaska
King Cove	99612	AK	Alaska
Akiachak	99551	AK	Alaska
Akiak	99552	AK	Alaska
Allakeket	99720	AK	Alaska
St. Mary's	99658	AK	Alaska
Old Harbor	99643	AK	Alaska
Angoon	99820	AK	Alaska
Anvik	99558	AK	Alaska
Mountain Village	99632	AK	Alaska
Fairbanks	99701	AK	Alaska
Juneau	99801	AK	Alaska
Gakona	99586	AK	Alaska
Chevak	99563	AK	Alaska
Chickaloon	99674	AK	Alaska
Dillingham	99576	AK	Alaska
Chignik Lake	99548	AK	Alaska
"Haines"	99827	AK	Alaska
Haines	99827-2365	AK	Alaska
Emmonak	99581	AK	Alaska
Circle	99733	AK	Alaska
Craig	99921	AK	Alaska
Egegik	99579	AK	Alaska
Chugiak	99567-6339	AK	Alaska
Galena	99741	AK	Alaska
Holy Cross	99602	AK	Alaska
Hoonah	99829	AK	Alaska
Hydaburg	99922	AK	Alaska
Igiugig	99613	AK	Alaska
Russian Mission	99657	AK	Alaska
Anchorage	99507	AK	Alaska
Kaguyak	99615	AK	Alaska
Kasigluk	99609	AK	Alaska
Kenai	99611-0988	AK	Alaska
Ketchikan	99901	AK	Alaska
King Salmon	99613	AK	Alaska
Klawok	99925-0430	AK	Alaska
Palmer	99645	AK	Alaska
Kokhanok	99606	AK	Alaska
Koyukuk	99754	AK	Alaska
McGrath	99627	AK	Alaska
Hot Springs	99756	AK	Alaska
Manokotak	99628	AK	Alaska
Mentasta	99780	AK	Alaska
Metlakatla	99926	AK	Alaska
Naknek	99633	AK	Alaska
Kodiak	99615	AK	Alaska
Anchorage	99503	AK	Alaska
Akutan	99553	AK	Alaska
Aleknagik	99555	AK	Alaska
Ambler	99786	AK	Alaska
Atka	99547	AK	Alaska
Cantell	99729	AK	Alaska
Chignik Lagoon	99565	AK	Alaska
Chitina	99566	AK	Alaska
Chuathbaluk	99557	AK	Alaska
Eagle	99738	AK	Alaska
Eek	99578	AK	Alaska
Ekwok	99580	AK	Alaska
Cordova	99574	AK	Alaska
False Pass	99583	AK	Alaska
Anchorage	99518	AK	Alaska
Goodnews Bay	99589-0138	AK	Alaska
Hooper Bay	99604	AK	Alaska
Kanatak	99687	AK	Alaska
Karluk	99608	AK	Alaska
Kipnuk	99614	AK	Alaska
Copper Center	99573-0068	AK	Alaska
Kongiganak	99559-5069	AK	Alaska
Kwigillingok	99622	AK	Alaska
Quinhagak	99655	AK	Alaska
Larsen Bay	99624	AK	Alaska
Marshall	99585	AK	Alaska
Mekoryuk	99630	AK	Alaska
Minto	99758-0026	AK	Alaska
Nanwalek	99603	AK	Alaska
Bethel	99559	AK	Alaska
Napakiak	99634	AK	Alaska
Nelson Lagoon	99571	AK	Alaska
Nightmute	99690	AK	Alaska
Nikolski	99638	AK	Alaska
Nunam Iqua	99666	AK	Alaska
Nunapitchuk	99641	AK	Alaska
Ouzinkie	99644	AK	Alaska
Perryville	99648	AK	Alaska
Piolet Point	99469	AK	Alaska
Port Graham	99603	AK	Alaska
Port Heiden	99549	AK	Alaska
Port Lions	99550	AK	Alaska
Ruby	99768	AK	Alaska
Scammon Bay	99662	AK	Alaska
Stevens Village	99774	AK	Alaska
Tanacross	99776	AK	Alaska
Tanana	99777	AK	Alaska
Tatitlek	99677	AK	Alaska
Glennallen	99588	AK	Alaska
Tok	99780	AK	Alaska
Tuntutuliak	99680	AK	Alaska
Tununak	99681	AK	Alaska
Tyonek	99682	AK	Alaska
Sand Point	99661	AK	Alaska
Nenana	99760	AK	Alaska
Koliganek	99576	AK	Alaska
New Stuyahok	99636	AK	Alaska
Newhalen	99606	AK	Alaska
Newtok	99559	AK	Alaska
Nikolai	99691	AK	Alaska
Ninilchik	99639	AK	Alaska
Nondalton	99640	AK	Alaska
Northway	99764	AK	Alaska
Nulato	99765	AK	Alaska
Toksook Bay	99637-7048	AK	Alaska
Grayling	99590	AK	Alaska
Kake	99830	AK	Alaska
Ketchikan	99950-0340	AK	Alaska
Kwethluk	99621-0130	AK	Alaska
Napaskiak	99559	AK	Alaska
Pedro Bay	99647	AK	Alaska
Petersburg	99833	AK	Alaska
Pilot Station	99650	AK	Alaska
Plantinum	99651	AK	Alaska
Dutch Harbor	99692	AK	Alaska
Rampart	99767	AK	Alaska
St. George Island	99591	AK	Alaska
St. Paul Island	99660	AK	Alaska
Seldovia	99663	AK	Alaska
Shageluk	99665	AK	Alaska
Sitka	99835-7505	AK	Alaska
Skagway	99840-1157	AK	Alaska
Wasilla	99654	AK	Alaska
