city	geography_type	year	resident_population	percent_change_in_resident_population	resident_population_density	resident_population_density_rank	number_of_representatives	change_in_number_of_representatives	average_apportionment_population_per_representative
Alabama	State	1910	2138093	16.9	42.2	25.0	10.0	1.0	213809.0
Alaska	State	1910	64356	1.2	0.1	52.0	0.0	0.0	0.0
Arizona	State	1910	204354	66.2	1.8	49.0	0.0	0.0	0.0
Arkansas	State	1910	1574449	20.0	30.3	30.0	7.0	0.0	224921.0
California	State	1910	2377549	60.1	15.3	38.0	11.0	3.0	216051.0
Colorado	State	1910	799024	48.0	7.7	42.0	4.0	1.0	199643.0
Connecticut	State	1910	1114756	22.7	230.2	6.0	5.0	0.0	222951.0
Delaware	State	1910	202322	9.5	103.8	11.0	1.0	0.0	202322.0
District of Columbia	State	1910	331069	18.8	0.0	1.0	0.0	0.0	0.0
Florida	State	1910	752619	42.4	14.0	40.0	4.0	1.0	188155.0
Georgia	State	1910	2609121	17.7	45.4	23.0	12.0	1.0	217427.0
Hawaii	State	1910	191909	24.6	29.9	31.0	0.0	0.0	0.0
Idaho	State	1910	325594	101.3	3.9	46.0	2.0	1.0	161720.0
Illinois	State	1910	5638591	16.9	101.6	12.0	27.0	2.0	208837.0
Indiana	State	1910	2700876	7.3	75.4	13.0	13.0	0.0	207760.0
Iowa	State	1910	2224771	-0.3	39.8	26.0	11.0	0.0	202252.0
Kansas	State	1910	1690949	15.0	20.7	35.0	8.0	0.0	211369.0
Kentucky	State	1910	2289905	6.6	58.0	14.0	11.0	0.0	208173.0
Louisiana	State	1910	1656388	19.9	38.3	29.0	8.0	1.0	207049.0
Maine	State	1910	742371	6.9	24.1	33.0	4.0	0.0	185593.0
Maryland	State	1910	1295346	9.0	133.4	9.0	6.0	0.0	215891.0
Massachusetts	State	1910	3366416	20.0	431.6	3.0	16.0	2.0	210401.0
Michigan	State	1910	2810173	16.1	49.7	19.0	13.0	1.0	216167.0
Minnesota	State	1910	2075708	18.5	26.1	32.0	10.0	1.0	207438.0
Mississippi	State	1910	1797114	15.8	38.3	28.0	8.0	0.0	224639.0
Missouri	State	1910	3293335	6.0	47.9	21.0	16.0	0.0	205833.0
Montana	State	1910	376053	54.5	2.6	48.0	2.0	1.0	183169.0
Nebraska	State	1910	1192214	11.8	15.5	37.0	6.0	0.0	198702.0
Nevada	State	1910	81875	93.4	0.7	51.0	1.0	0.0	80293.0
New Hampshire	State	1910	430572	4.6	48.1	20.0	2.0	0.0	215286.0
New Jersey	State	1910	2537167	34.7	345.0	4.0	12.0	2.0	211431.0
New Mexico	State	1910	327301	67.6	2.7	47.0	0.0	0.0	0.0
New York	State	1910	9113614	25.4	193.4	7.0	43.0	6.0	211836.0
North Carolina	State	1910	2206287	16.5	45.4	22.0	10.0	0.0	220629.0
North Dakota	State	1910	577056	80.8	8.4	41.0	3.0	1.0	191468.0
Ohio	State	1910	4767121	14.7	116.7	10.0	22.0	1.0	216687.0
Oklahoma	State	1910	1657155	109.7	24.2	33.0	8.0	8.0	207144.0
Oregon	State	1910	672765	62.7	7.0	44.0	3.0	1.0	224255.0
Pennsylvania	State	1910	7665111	21.6	171.3	8.0	36.0	4.0	212920.0
Puerto Rico	State	1910	1118012	17.3	326.5	5.0	0.0	0.0	0.0
Rhode Island	State	1910	542610	26.6	524.9	2.0	3.0	1.0	180870.0
South Carolina	State	1910	1515400	13.1	50.4	18.0	7.0	0.0	216486.0
South Dakota	State	1910	583888	45.4	7.7	42.0	3.0	1.0	191892.0
Tennessee	State	1910	2184789	8.1	53.0	15.0	10.0	0.0	218479.0
Texas	State	1910	3896542	27.8	14.9	39.0	18.0	2.0	216475.0
Utah	State	1910	373351	34.9	4.5	45.0	2.0	1.0	185932.0
Vermont	State	1910	355956	3.6	38.6	27.0	2.0	0.0	177978.0
Virginia	State	1910	2061612	11.2	52.2	16.0	10.0	0.0	206161.0
Washington	State	1910	1141990	120.4	17.2	36.0	5.0	2.0	228027.0
West Virginia	State	1910	1221119	27.4	50.8	17.0	6.0	1.0	203520.0
Wisconsin	State	1910	2333860	12.8	43.1	24.0	11.0	0.0	212078.0
Wyoming	State	1910	145965	57.7	1.5	50.0	1.0	0.0	144658.0
Alabama	State	1920	2348174	9.8	46.4	25.0	10.0	0.0	234817.0
Alaska	State	1920	55036	-14.5	0.1	52.0	0.0	0.0	0.0
Arizona	State	1920	334162	63.5	2.9	49.0	1.0	1.0	309495.0
Arkansas	State	1920	1752204	11.3	33.7	31.0	7.0	0.0	250315.0
California	State	1920	3426861	44.1	22.0	35.0	11.0	0.0	311457.0
Colorado	State	1920	939629	17.6	9.1	42.0	4.0	0.0	234790.0
Connecticut	State	1920	1380631	23.9	285.1	6.0	5.0	0.0	276126.0
Delaware	State	1920	223003	10.2	114.4	12.0	1.0	0.0	223003.0
District of Columbia	State	1920	437571	32.2	0.0	1.0	0.0	0.0	0.0
Florida	State	1920	968470	28.7	18.1	38.0	4.0	0.0	242118.0
Georgia	State	1920	2895832	11.0	50.4	21.0	12.0	0.0	241319.0
Hawaii	State	1920	255912	33.4	39.8	28.0	0.0	0.0	0.0
Idaho	State	1920	431866	32.6	5.2	46.0	2.0	0.0	215221.0
Illinois	State	1920	6485280	15.0	116.8	11.0	27.0	0.0	240196.0
Indiana	State	1920	2930390	8.5	81.8	13.0	13.0	0.0	225415.0
Iowa	State	1920	2404021	8.1	43.0	26.0	11.0	0.0	218547.0
Kansas	State	1920	1769257	4.6	21.6	36.0	8.0	0.0	221157.0
Kentucky	State	1920	2416630	5.5	61.2	15.0	11.0	0.0	219694.0
Louisiana	State	1920	1798509	8.6	41.6	27.0	8.0	0.0	224814.0
Maine	State	1920	768014	3.5	24.9	34.0	4.0	0.0	192004.0
Maryland	State	1920	1449661	11.9	149.3	9.0	6.0	0.0	241610.0
Massachusetts	State	1920	3852356	14.4	493.9	3.0	16.0	0.0	240772.0
Michigan	State	1920	3668412	30.5	64.9	14.0	13.0	0.0	282186.0
Minnesota	State	1920	2387125	15.0	30.0	32.0	10.0	0.0	238566.0
Mississippi	State	1920	1790618	-0.4	38.2	29.0	8.0	0.0	223827.0
Missouri	State	1920	3404055	3.4	49.5	22.0	16.0	0.0	212753.0
Montana	State	1920	548889	46.0	3.8	47.0	2.0	0.0	270756.0
Nebraska	State	1920	1296372	8.7	16.9	40.0	6.0	0.0	216062.0
Nevada	State	1920	77407	-5.5	0.7	51.0	1.0	0.0	75820.0
New Hampshire	State	1920	443083	2.9	49.5	22.0	2.0	0.0	221542.0
New Jersey	State	1920	3155900	24.4	429.1	4.0	12.0	0.0	262992.0
New Mexico	State	1920	360350	10.1	3.0	48.0	1.0	1.0	353428.0
New York	State	1920	10385227	14.0	220.4	7.0	43.0	0.0	241409.0
North Carolina	State	1920	2559123	16.0	52.6	20.0	10.0	0.0	255912.0
North Dakota	State	1920	646872	12.1	9.4	41.0	3.0	0.0	214651.0
