City	Sunrise	Sunset
Alpena	5:33 am	6:21 pm ↑ (261°)
Atlanta	5:42 am	6:34 pm ↑ (262°)
Augusta	4:39 am	5:27 pm ↑ (261°)
Birmingham	4:52 am	5:44 pm ↑ (262°)
Breckenridge	5:07 am	5:56 pm ↑ (261°)
Bridgeport	4:55 am	5:44 pm ↑ (261°)
Brooklyn	4:58 am	5:47 pm ↑ (261°)
Canton	5:28 am	6:17 pm ↑ (261°)
Charlotte	5:28 am	6:19 pm ↑ (262°)
Clarkston	5:35 am	6:23 pm ↑ (261°)
Decatur	4:58 am	5:48 pm ↑ (261°)
Detroit	5:33 am	6:22 pm ↑ (261°)
Dexter	5:04 am	5:54 pm ↑ (262°)
Ferndale	5:34 am	6:22 pm ↑ (261°)
Flint	5:36 am	6:24 pm ↑ (261°)
Frankenmuth	5:36 am	6:24 pm ↑ (261°)
Fremont	5:11 am	6:02 pm ↑ (262°)
Hamilton	5:35 am	6:23 pm ↑ (260°)
Hartford	4:52 am	5:41 pm ↑ (261°)
Holland	5:45 am	6:34 pm ↑ (261°)
Howell	5:37 am	6:25 pm ↑ (261°)
Jackson	5:06 am	5:58 pm ↑ (262°)
Kalamazoo	5:44 am	6:32 pm ↑ (261°)
Lapeer	5:34 am	6:22 pm ↑ (261°)
Lansing	5:39 am	6:28 pm ↑ (261°)
Livonia	5:35 am	6:23 pm ↑ (261°)
Lowell	4:46 am	5:35 pm ↑ (261°)
Manchester	4:47 am	5:35 pm ↑ (261°)
Marquette	5:48 am	6:36 pm ↑ (260°)
Mason/Dansville	5:40 am	6:29 pm ↑ (261°)
Memphis	5:05 am	5:56 pm ↑ (262°)
Midland	5:53 am	6:46 pm ↑ (262°)
Midland	5:53 am	6:46 pm ↑ (262°)
Muskegon	5:46 am	6:34 pm ↑ (261°)
Nashville	4:51 am	5:42 pm ↑ (262°)
Oakland	5:12 am	6:03 pm ↑ (262°)
Oxford	5:03 am	5:54 pm ↑ (262°)
Plymouth	5:13 am	6:01 pm ↑ (261°)
Pontiac	5:34 am	6:23 pm ↑ (261°)
Rochester	5:11 am	6:00 pm ↑ (261°)
Rockford	4:58 am	5:46 pm ↑ (261°)
Roseville	5:08 am	5:58 pm ↑ (261°)
Saginaw	5:36 am	6:25 pm ↑ (261°)
Sidney	4:54 am	5:41 pm ↑ (260°)
Southgate	5:34 am	6:23 pm ↑ (261°)
Trenton	5:01 am	5:50 pm ↑ (261°)
Troy	5:34 am	6:22 pm ↑ (261°)
Utica	5:02 am	5:50 pm ↑ (261°)
Warren	5:33 am	6:22 pm ↑ (261°)
Westland	5:35 am	6:23 pm ↑ (261°)
Allentown	5:04 am	5:53 pm ↑ (261°)
Altoona	5:16 am	6:05 pm ↑ (261°)
Banning	4:52 am	5:44 pm ↑ (262°)
